song_name,artist,album,genre,track_price_inr,album_price_inr,country,currency,is_streamable,duration_min,release_year,era,is_recent,price_category
Tujhe Kitna Chahne Lage,Arijit Singh,Kabir Singh (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,4.75,2019,2015s,NO,Premium
Iktara,"Amit Trivedi, Kavita Seth & Amitabh Bhattacharya",Wake Up Sid (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,4.23,2009,2000s,NO,Premium
Tera Ban Jaunga,Akhil Sachdeva & Tulsi Kumar,Kabir Singh (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,3.94,2019,2015s,NO,Premium
"Naina (From ""Crew"")","Diljit Dosanjh, Badshah & Raj Ranjodh","Naina (From ""Crew"") - Single",Soundtrack,18.0,18.0,IND,INR,True,3.0,2024,2020s,YES,Premium
Bollywood,Akhil,Bollywood - Single,Indian Pop,18.0,18.0,IND,INR,True,2.6,2017,2015s,NO,Premium
Ghungroo,"Vishal & Shekhar, Arijit Singh & Shilpa Rao",War (Original Motion Picture Soundtrack),Bollywood,11.0,50.0,IND,INR,True,5.05,2019,2015s,NO,Budget
Sajni,"Arijit Singh, Ram Sampath & Prashant Pandey",Laapataa Ladies (Original Motion Picture Soundtrack),Bollywood,18.0,60.0,IND,INR,True,2.83,2024,2020s,YES,Premium
Dooriyan,Pritam & Mohit Chauhan,Love Aaj Kal (Original Motion Picture Soundtrack),Bollywood,18.0,170.0,IND,INR,True,5.62,2009,2000s,NO,Premium
"Janiye (From the Netflix Film ""Chor Nikal Ke Bhaga"") [feat. Rashmeet Kaur]",Vishal Mishra,"Janiye (feat. Rashmeet Kaur) [From the Netflix Film ""Chor Nikal Ke Bhaga""]  - Single",Original Score,15.0,15.0,IND,INR,True,3.72,2023,2020s,YES,Budget
Tum Ho,Mohit Chauhan & Suzanne D'Mello,Rockstar (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,5.28,2011,2010s,NO,Premium
Ishq Hai,"Anurag Saikia, Raj Shekhar, Romy & Amarabha Banerjee",Mismatched: Season 3 (Soundtrack from the Netflix Series),Bollywood,18.0,60.0,IND,INR,True,5.21,2024,2020s,YES,Premium
Tum Se Hi,Pritam & Mohit Chauhan,Jab We Met (Original Motion Picture Soundtrack),Bollywood,18.0,110.0,IND,INR,True,5.35,2007,2000s,NO,Premium
"Tauba Tauba (From ""Bad Newz"")",Karan Aujla,"Tauba Tauba (From ""Bad Newz"") - Single",Bollywood,18.0,18.0,IND,INR,True,3.45,2024,2020s,YES,Premium
"Naina (From ""Crew"")","Diljit Dosanjh, Badshah & Raj Ranjodh",Crew (Original Motion Picture Soundtrack),Soundtrack,18.0,120.0,IND,INR,True,3.0,2024,2020s,YES,Premium
Duniyaa,Akhil & Dhvani Bhanushali,Luka Chuppi (Original Motion Picture Soundtrack),Bollywood,18.0,60.0,IND,INR,True,3.71,2019,2015s,NO,Premium
"Deewaniyat (From ""Ek Deewane Ki Deewaniyat"") [Original Soundtrack]","Vishal Mishra, Kaushik-Guddu & Kunaal Vermaa","Deewaniyat (From ""Ek Deewane Ki Deewaniyat"") [Original Soundtrack] - Single",Soundtrack,11.0,11.0,IND,INR,True,4.3,2025,2020s,YES,Budget
Ae Dil Hai Mushkil (Title Track),Pritam & Arijit Singh,Ae Dil Hai Mushkil (Deluxe Edition) [Original Motion Picture Soundtrack],Bollywood,18.0,160.0,IND,INR,True,4.48,2016,2015s,NO,Premium
